url,id,slike,naslov
https://www.realitica.com/hr/listing/1398040,1398040,"[""/b_images/1398040_879eaa6a00adb91059ee135270e710a7640c7bc86b9905400f7b4d-v.jpg"",""/b_images/1398040_55cc86dcfdd6afdabb58e98c70fd9d9c8e65b1a4be4e2195e23300-v.jpg"",""/b_images/1398040_5e96d1f4e988fbc143b50384c1f9efaf93d17791248da88076a745-v.jpg"",""/b_images/1398040_926b81afd6b38e70231afcb4ad9c18ae969261927f0be768d1a6b3-v.jpg""]","Iznajmljujem Stan-Apartman, Ulcinj"
https://www.realitica.com/hr/listing/1259265,1259265,"[""https://www.realitica.com/images/listing_photos/1259265_20190628_202342.jpg"",""https://www.realitica.com/images/listing_photos/1259265_20190704_171855.jpg"",""https://www.realitica.com/images/listing_photos/1259265_20190710_112018.jpg"",""https://www.realitica.com/images/listing_photos/1259265_81aa3bb59db9a5740b5aa022ab28e0b69e4d9850d794b75b002a28-v.jpg""]","Iznajmljujem Stan-Apartman, Ulcinj"
https://www.realitica.com/hr/listing/769678,769678,"[""https://www.realitica.com/images/listing_photos/769678_imag0361.jpg"",""https://www.realitica.com/images/listing_photos/769678_apartman-suncani-skalini---6.jpeg"",""https://www.realitica.com/images/listing_photos/769678_apartman-suncani-skalini---1.jpeg"",""https://www.realitica.com/images/listing_photos/769678_apartman-suncani-skalini---7.jpeg""]","Iznajmljujem Stan-Apartman, Herceg Novi"
https://www.realitica.com/hr/listing/1259267,1259267,"[""https://www.realitica.com/images/listing_photos/1259267_b856a4245ee6161047f03541c31a3c0bcb17d17d658a32ef94e9b2-v.jpg"",""https://www.realitica.com/images/listing_photos/1259267_32f0640d64a8ddc701db9648e938d741f912aac096382f03e8ff89-v.jpg"",""https://www.realitica.com/images/listing_photos/1259267_a2beadbaf685ca54fe979f88dba59246a494c2af852d7b150a1ce7-v.jpg"",""https://www.realitica.com/images/listing_photos/1259267_8eb31dbe58b3153a8c3470a1c3dda309cd96eafc3544d9b17dcecc-v.jpg""]","Iznajmljujem Stan-Apartman, Ulcinj"
https://www.realitica.com/hr/listing/1398040,1398040,"[""/b_images/1398040_879eaa6a00adb91059ee135270e710a7640c7bc86b9905400f7b4d-v.jpg"",""/b_images/1398040_55cc86dcfdd6afdabb58e98c70fd9d9c8e65b1a4be4e2195e23300-v.jpg"",""/b_images/1398040_5e96d1f4e988fbc143b50384c1f9efaf93d17791248da88076a745-v.jpg"",""/b_images/1398040_926b81afd6b38e70231afcb4ad9c18ae969261927f0be768d1a6b3-v.jpg""]","Iznajmljujem Stan-Apartman, Ulcinj"
https://www.realitica.com/hr/listing/1460898,1460898,"[""https://www.realitica.com/images/listing_photos/1460898_5e96d1f4e988fbc143b50384c1f9efaf93d17791248da88076a745-v.jpg"",""https://www.realitica.com/images/listing_photos/1460898_d7b03491bc89250a4ad444150ece05c0ada272563ee06b1c543b6f-v.jpg"",""https://www.realitica.com/images/listing_photos/1460898_20171113_162334.jpg"",""https://www.realitica.com/images/listing_photos/1460898_420fdd2118b55f08a0d04c8070d94f95136dbf7c6d37faf67af033-v.jpg""]","Iznajmljujem Stan-Apartman, Ulcinj"
https://www.realitica.com/hr/listing/1259265,1259265,"[""https://www.realitica.com/images/listing_photos/1259265_20190628_202342.jpg"",""https://www.realitica.com/images/listing_photos/1259265_20190704_171855.jpg"",""https://www.realitica.com/images/listing_photos/1259265_20190710_112018.jpg"",""https://www.realitica.com/images/listing_photos/1259265_81aa3bb59db9a5740b5aa022ab28e0b69e4d9850d794b75b002a28-v.jpg""]","Iznajmljujem Stan-Apartman, Ulcinj"
https://www.realitica.com/hr/listing/1259267,1259267,"[""https://www.realitica.com/images/listing_photos/1259267_b856a4245ee6161047f03541c31a3c0bcb17d17d658a32ef94e9b2-v.jpg"",""https://www.realitica.com/images/listing_photos/1259267_32f0640d64a8ddc701db9648e938d741f912aac096382f03e8ff89-v.jpg"",""https://www.realitica.com/images/listing_photos/1259267_a2beadbaf685ca54fe979f88dba59246a494c2af852d7b150a1ce7-v.jpg"",""https://www.realitica.com/images/listing_photos/1259267_8eb31dbe58b3153a8c3470a1c3dda309cd96eafc3544d9b17dcecc-v.jpg""]","Iznajmljujem Stan-Apartman, Ulcinj"
https://www.realitica.com/hr/listing/1259252,1259252,"[""https://www.realitica.com/images/listing_photos/1259252_0e89626f5c28b0fb5c9b5fd9b66d4e50c322ddc8c8fce841d77015-v.jpg"",""https://www.realitica.com/images/listing_photos/1259252_20190511_184936.jpg"",""https://www.realitica.com/images/listing_photos/1259252_8eb31dbe58b3153a8c3470a1c3dda309cd96eafc3544d9b17dcecc-v.jpg"",""https://www.realitica.com/images/listing_photos/1259252_757976b9e5d2773b7e3d808bc2dffad083521d0d665641e8f4e89c-v.jpg""]","Iznajmljujem Stan-Apartman, Ulcinj"
https://www.realitica.com/hr/listing/1460898,1460898,"[""https://www.realitica.com/images/listing_photos/1460898_5e96d1f4e988fbc143b50384c1f9efaf93d17791248da88076a745-v.jpg"",""https://www.realitica.com/images/listing_photos/1460898_d7b03491bc89250a4ad444150ece05c0ada272563ee06b1c543b6f-v.jpg"",""https://www.realitica.com/images/listing_photos/1460898_20171113_162334.jpg"",""https://www.realitica.com/images/listing_photos/1460898_420fdd2118b55f08a0d04c8070d94f95136dbf7c6d37faf67af033-v.jpg""]","Iznajmljujem Stan-Apartman, Ulcinj"
https://www.realitica.com/hr/listing/2438960,2438960,"[""https://www.realitica.com/images/listing_photos/2438960_img-ab65ee89e4e1906594c49e0ee57a8256-v.jpg"",""https://www.realitica.com/images/listing_photos/2438960_img-3103144a07f3eaa42344266a160acb42-v.jpg"",""https://www.realitica.com/images/listing_photos/2438960_img-22db10baa19772ec4d24bc305f3cafc2-v.jpg"",""https://www.realitica.com/images/listing_photos/2438960_img-1d0f3a8a532b6a1481c91905fe94bb03-v.jpg"",""https://www.realitica.com/images/listing_photos/2438960_img-e0d844f58e67a3d1aa862f427b08faea-v.jpg"",""https://www.realitica.com/images/listing_photos/2438960_img_20200822_184409.jpg""]","Iznajmljujem Stan-Apartman, Tivat"
https://www.realitica.com/hr/listing/1259252,1259252,"[""https://www.realitica.com/images/listing_photos/1259252_0e89626f5c28b0fb5c9b5fd9b66d4e50c322ddc8c8fce841d77015-v.jpg"",""https://www.realitica.com/images/listing_photos/1259252_20190511_184936.jpg"",""https://www.realitica.com/images/listing_photos/1259252_8eb31dbe58b3153a8c3470a1c3dda309cd96eafc3544d9b17dcecc-v.jpg"",""https://www.realitica.com/images/listing_photos/1259252_757976b9e5d2773b7e3d808bc2dffad083521d0d665641e8f4e89c-v.jpg""]","Iznajmljujem Stan-Apartman, Ulcinj"
https://www.realitica.com/hr/listing/1356330,1356330,"[""https://www.realitica.com/images/listing_photos/1356330_stan-bd-1.jpg"",""https://www.realitica.com/images/listing_photos/1356330_stan-bd-5.jpg"",""https://www.realitica.com/images/listing_photos/1356330_sobq.jpg"",""https://www.realitica.com/images/listing_photos/1356330_dejo-1.jpg""]","Iznajmljujem Stan-Apartman, Babin Do"
https://www.realitica.com/hr/listing/2438960,2438960,"[""https://www.realitica.com/images/listing_photos/2438960_img-ab65ee89e4e1906594c49e0ee57a8256-v.jpg"",""https://www.realitica.com/images/listing_photos/2438960_img-3103144a07f3eaa42344266a160acb42-v.jpg"",""https://www.realitica.com/images/listing_photos/2438960_img-22db10baa19772ec4d24bc305f3cafc2-v.jpg"",""https://www.realitica.com/images/listing_photos/2438960_img-1d0f3a8a532b6a1481c91905fe94bb03-v.jpg"",""https://www.realitica.com/images/listing_photos/2438960_img-e0d844f58e67a3d1aa862f427b08faea-v.jpg"",""https://www.realitica.com/images/listing_photos/2438960_img_20200822_184409.jpg""]","Iznajmljujem Stan-Apartman, Tivat"
https://www.realitica.com/hr/listing/1564761,1564761,"[""https://www.realitica.com/images/listing_photos/1564761_img_5213.jpg"",""https://www.realitica.com/images/listing_photos/1564761_d2ca45cf-53d1-44be-97a4-343ea08ebb19.jpeg"",""https://www.realitica.com/images/listing_photos/1564761_img_5206.jpg"",""https://www.realitica.com/images/listing_photos/1564761_img_5209.jpg""]","Iznajmljujem Stan-Apartman, Bijela"
https://www.realitica.com/hr/listing/1356330,1356330,"[""https://www.realitica.com/images/listing_photos/1356330_stan-bd-1.jpg"",""https://www.realitica.com/images/listing_photos/1356330_stan-bd-5.jpg"",""https://www.realitica.com/images/listing_photos/1356330_sobq.jpg"",""https://www.realitica.com/images/listing_photos/1356330_dejo-1.jpg""]","Iznajmljujem Stan-Apartman, Babin Do"
https://www.realitica.com/hr/listing/1998666,1998666,"[""https://www.realitica.com/images/listing_photos/1998666_m_studio-apartment-basileus-ika-photography--26-.jpg"",""https://www.realitica.com/images/listing_photos/1998666_m_studio-apartment-basileus-ika-photography--7-.jpg"",""https://www.realitica.com/images/listing_photos/1998666_m_studio-apartment-basileus-ika-photography--16-.jpg"",""https://www.realitica.com/images/listing_photos/1998666_m_studio-apartment-basileus-ika-photography--19-.jpg""]","Iznajmljujem Stan-Apartman, Babilonija"
https://www.realitica.com/hr/listing/1564761,1564761,"[""https://www.realitica.com/images/listing_photos/1564761_img_5213.jpg"",""https://www.realitica.com/images/listing_photos/1564761_d2ca45cf-53d1-44be-97a4-343ea08ebb19.jpeg"",""https://www.realitica.com/images/listing_photos/1564761_img_5206.jpg"",""https://www.realitica.com/images/listing_photos/1564761_img_5209.jpg""]","Iznajmljujem Stan-Apartman, Bijela"
https://www.realitica.com/hr/listing/2456045,2456045,"[""/c_images/2456045_1_big_7.jpg"",""/c_images/2456045_2_big_2.jpg"",""/c_images/2456045_3_big_4.jpg"",""/c_images/2456045_4_big_6.jpg""]","Iznajmljujem Apartman za Odmor, Budva, €280"
https://www.realitica.com/hr/listing/2415470,2415470,"[""/c_images/2415470_1_big_3I6A9351.jpg"",""/c_images/2415470_2_big_3I6A9221.jpg"",""/c_images/2415470_3_big_3I6A9281.jpg"",""/c_images/2415470_4_big_3I6A9237.jpg""]","Iznajmljujem Apartman za Odmor, Budva, €3.750"
https://www.realitica.com/hr/listing/1998666,1998666,"[""https://www.realitica.com/images/listing_photos/1998666_m_studio-apartment-basileus-ika-photography--26-.jpg"",""https://www.realitica.com/images/listing_photos/1998666_m_studio-apartment-basileus-ika-photography--7-.jpg"",""https://www.realitica.com/images/listing_photos/1998666_m_studio-apartment-basileus-ika-photography--16-.jpg"",""https://www.realitica.com/images/listing_photos/1998666_m_studio-apartment-basileus-ika-photography--19-.jpg""]","Iznajmljujem Stan-Apartman, Babilonija"
https://www.realitica.com/hr/listing/2456045,2456045,"[""/c_images/2456045_1_big_7.jpg"",""/c_images/2456045_2_big_2.jpg"",""/c_images/2456045_3_big_4.jpg"",""/c_images/2456045_4_big_6.jpg""]","Iznajmljujem Apartman za Odmor, Budva, €280"
https://www.realitica.com/hr/listing/2415463,2415463,"[""/c_images/2415463_1_big_5.jpg"",""/c_images/2415463_2_big_6.jpg"",""/c_images/2415463_3_big_2.jpg"",""/c_images/2415463_4_big_4.jpg""]","Iznajmljujem Apartman za Odmor, Bečići, Budva Okolina, €260"
https://www.realitica.com/hr/listing/2415470,2415470,"[""/c_images/2415470_1_big_3I6A9351.jpg"",""/c_images/2415470_2_big_3I6A9221.jpg"",""/c_images/2415470_3_big_3I6A9281.jpg"",""/c_images/2415470_4_big_3I6A9237.jpg""]","Iznajmljujem Apartman za Odmor, Budva, €3.750"
https://www.realitica.com/hr/listing/2413014,2413014,"[""/c_images/2413014_1_big_4rf.jpg"",""/c_images/2413014_2_big_13.jpg"",""/c_images/2413014_3_big_tfd.jpg"",""/c_images/2413014_4_big_654t.jpg""]","Iznajmljujem Hotel za Odmor, Tivat, €5.167"
https://www.realitica.com/hr/listing/2415463,2415463,"[""/c_images/2415463_1_big_5.jpg"",""/c_images/2415463_2_big_6.jpg"",""/c_images/2415463_3_big_2.jpg"",""/c_images/2415463_4_big_4.jpg""]","Iznajmljujem Apartman za Odmor, Bečići, Budva Okolina, €260"
https://www.realitica.com/hr/listing/2413012,2413012,"[""/c_images/2413012_1_big_3.jpg"",""/c_images/2413012_2_big_8.jpg"",""/c_images/2413012_3_big_7.jpg"",""/c_images/2413012_4_big_1.jpg""]","Iznajmljujem Apartman za Odmor, Bečići, Budva Okolina, €320"
